action_date,student,action,lesson_title,activity_variant,reason,result,recorded_at
2026-09-08,Student A,unchecked,Blend Syllables,Basic,100% mastered,saved and removed from assignments,
2026-09-09,Student A,unchecked,Words: End Sound,Basic,100% mastered,saved and removed from assignments,
2026-09-09,Student A,checked,Blend Syllables,Main,Basic mastered,saved and visible in assignments dated Today,
2026-09-09,Student A,checked,Words: End Sound,Main,Basic mastered,saved and visible in assignments dated Today,
2026-09-09,Student A,unchecked,Blend Sounds 1,Basic,paused: onset-rime is secondary to emerging full-phoneme CVC work,saved,
2026-09-09,Student A,unchecked,Word Families,Basic,paused after repeated scores below 80%; use print-linked phoneme prerequisite,saved,
2026-09-09,Student A,unchecked,Beginning Sounds 2,Basic,deprioritized: initial sounds are already Student A's strongest position,saved,
2026-09-09,Student A,unchecked,Words with b & d,Main,deferred until short-vowel and early CVC-middle bridge is complete,saved,
2026-09-09,Student A,unchecked,Words with a,Main,deferred until Short Vowel Sound a Basic is mastered,saved,
2026-09-09,Student A,unchecked,Middle Sound,Basic,deferred after 50%; narrower preschool CVC prerequisite first,saved,
2026-09-09,Student A,unchecked,Ending Sound,Basic,deferred after 58%; narrower preschool CVC prerequisite first,saved,
2026-09-09,Student A,unchecked,First & Last Sound,Basic,deferred until CVC middle and ending work is stable,saved,
2026-09-09,Student A,unchecked,Isolate All Sounds,Main,deferred: no Basic variant and whole-sequence demand is premature,saved,
2026-09-09,Student A,unchecked,1-Syllable Words,Basic,deferred until CVC blending and isolation are stable,saved,
2026-09-09,Student A,unchecked,2-Syllable Words,Basic,deferred until one-syllable decoding is stable,saved,
2026-09-09,Student A,unchecked,"st, sp, sk, sm",Basic,deferred until three-phoneme CVC blending is mastered,saved,
2026-09-09,Student A,checked,Short Vowel Sound a,Basic,next low-gap bridge from known letter sounds to printed CVC middle position,saved and verified in Assignments,
2026-09-10,Student A,unchecked,Blend Sounds 2,Basic,mastered: two consecutive attempts are at least 90%; promote to Blend Sounds 2 — Main,saved,
2026-09-10,Student A,unchecked,Blend Syllables,Main,mastered: two consecutive attempts are at least 90%; promote to Blend Syllables — Practice 1,saved,
2026-09-10,Student A,checked,Blend Sounds 2,Main,first unmastered activity in three_phoneme_blending,saved and verified in Assignments,
2026-09-10,Student A,checked,Blend Syllables,Practice 1,first unmastered activity in syllable_blending_maintenance,saved and verified in Assignments,
2026-09-10,Student A,checked,Short Vowel Sound i,Basic,first unmastered activity in short_i_cvc_middle,saved and verified in Assignments,
2026-09-10,Student A,checked,Short Vowel Sound e,Basic,first unmastered activity in short_e_cvc_middle,saved and verified in Assignments,
2026-09-10,Student A,checked,Short Vowel Sound o,Basic,first unmastered activity in short_o_cvc_middle,saved and verified in Assignments,
2026-09-10,Student A,checked,Short Vowel Sound u,Basic,first unmastered activity in short_u_cvc_middle,saved and verified in Assignments,
2026-09-10,Student A,checked,"Words with b, c, d",Main,first unmastered activity in cvc_beginning_bcd,saved and verified in Assignments,
2026-09-10,Student A,unchecked,Blend Syllables,Practice 1,mastered: latest attempt is 100%; promote to Blend Syllables — Practice 2,saved,
2026-09-10,Student A,checked,Blend Syllables,Practice 2,first unmastered activity in syllable_blending_maintenance,saved and verified in Assignments,
2026-09-10,Student A,unchecked,Short Vowel Sound o,Basic,deferred: active instructional group is limited to 3 lessons,saved,
2026-09-10,Student A,unchecked,Short Vowel Sound e,Basic,deferred: active instructional group is limited to 3 lessons,saved,
2026-09-10,Student A,checked,"Words with f, g, h",Main,next mastery rung in a rotating stretch slot,saved and verified in Assignments,
2026-09-10,Student A,checked,Words with m & n,Main,next mastery rung in a rotating stretch slot,saved and verified in Assignments,
2026-09-11,Student A,unchecked,Short Vowel Sound a,Basic,mastered: latest attempt is 100%; promote to Short Vowel Sound a — Main,saved,
2026-09-11,Student A,unchecked,Blend Syllables,Practice 2,mastered: latest attempt is 100%; selected lesson family complete,saved,
2026-09-11,Student A,unchecked,Short Vowel Sound u,Basic,mastered: latest attempt is 100%; promote to Short Vowel Sound u — Main,saved,
2026-09-11,Student A,checked,Short Vowel Sound a,Main,first unmastered activity in short_a_cvc_middle,saved and verified in Assignments,
2026-09-11,Student A,checked,Short Vowel Sound u,Main,first unmastered activity in short_u_cvc_middle,saved and verified in Assignments,
2026-09-11,Student A,checked,Words with b & d,Main,next mastery rung in a rotating stretch slot,saved and verified in Assignments,
2026-09-11,Student A,unchecked,Make New Words,Basic,mastered: latest attempt is 100%; promote to Make New Words — Main,saved,
2026-09-11,Student A,unchecked,Blend Sounds 2,Main,mastered: latest attempt is 100%; promote to Blend Sounds 2 — Practice 1,saved,
2026-09-11,Student A,checked,Blend Sounds 2,Practice 1,first unmastered activity in three_phoneme_blending,saved; final verification pending,
2026-09-11,Student A,checked,Make New Words,Main,first unmastered activity in phoneme_manipulation,saved; final verification pending,
2026-09-11,Student A,unchecked,"Words with b, c, d",Main,quarantined: through 2026-10-10 (eligible again 2026-10-11): 30-day instructional quarantine after the latest Main attempt scored 39%; preserve for later retry,saved,
2026-09-11,Student A,checked,"Words with m, n, p",Main,next mastery rung in a rotating stretch slot,saved; final verification pending,
